model,idk,gdl,srl_args,coarse_first,thresh,P,R,F
bert-l,False,False,"['V', 'ARG0', 'ARG1']",False,0.99,0.0547070258261594,0.17876588021778583,0.08377631299170743
bert-l,False,False,"['V', 'ARG0', 'ARG1']",False,0.995,0.05559947299077734,0.18189655172413793,0.0851664984863774
bert-l,False,False,"['V', 'ARG0', 'ARG1']",True,0.985,0.05548517861667089,0.17980295566502463,0.08480154888673766
bert-l,False,False,"['V', 'ARG0', 'ARG1']",True,0.99,0.05544699560332193,0.1778996865203762,0.0845437616387337
bert-l,False,False,"['V', 'ARG0', 'ARG1']",True,0.995,0.05577972940897223,0.17616191904047976,0.08473048494681812
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.05757026291931097,0.1824712643678161,0.08752584424534804
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.05923193751356043,0.18827586206896552,0.09011388017824724
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.060833333333333336,0.19363395225464192,0.09258084971464807
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.061022428773489595,0.19284802043422733,0.09270913277052954
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.06123650637880275,0.1921182266009852,0.09287096294091382
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.06174496644295302,0.19143876337693222,0.09337393069450485
bert-l,False,False,"['V', 'ARG0']",False,0.985,0.06319086219602063,0.19712643678160918,0.09570312500000001
bert-l,False,False,"['V', 'ARG0']",False,0.99,0.06452756603439107,0.20244716351501668,0.09786261594300309
bert-l,False,False,"['V', 'ARG0']",False,0.995,0.06582321764404171,0.20743534482758622,0.09993510707332899
bert-l,False,False,"['V', 'ARG0']",True,0.985,0.06500415627597672,0.20428422152560083,0.09862529953335855
bert-l,False,False,"['V', 'ARG0']",True,0.99,0.06433317128504294,0.2013184584178499,0.09750706127962668
bert-l,False,False,"['V', 'ARG0']",True,0.995,0.06392766497461928,0.19852216748768473,0.09671226301895847
bert-l,False,False,"['V', 'ARG1']",False,0.985,0.06404546152664721,0.1997126436781609,0.09698802186300731
bert-l,False,False,"['V', 'ARG1']",False,0.99,0.06416555009676939,0.20083876980428705,0.09725826469592688
bert-l,False,False,"['V', 'ARG1']",False,0.995,0.06432494940734317,0.20190562613430127,0.09756632317474238
bert-l,False,False,"['V', 'ARG1']",True,0.985,0.06364922206506365,0.1989389920424403,0.0964423489069867
bert-l,False,False,"['V', 'ARG1']",True,0.99,0.06310679611650485,0.1961206896551724,0.09548793284365163
bert-l,False,False,"['V', 'ARG1']",True,0.995,0.06289308176100629,0.1934398654331371,0.0949236483697895
bert-l,True,False,all,False,0.985,0.062457569585879155,0.18883415435139572,0.09386797265585144
bert-l,True,False,all,False,0.99,0.06212857914640735,0.18444266238973536,0.09294807031723581
bert-l,True,False,all,False,0.995,0.06200296535921283,0.18025078369905956,0.0922675759703139
bert-l,True,False,all,True,0.985,0.06182795698924731,0.17624521072796934,0.09154228855721394
bert-l,True,False,all,True,0.99,0.06172011270629277,0.1724137931034483,0.09090010868491255
bert-l,True,False,all,True,0.995,0.061670465209813646,0.16874541452677916,0.09032891507118311
bert-l,True,False,['V'],False,0.985,0.06128430588862244,0.16522988505747127,0.08940719144800778
bert-l,True,False,['V'],False,0.99,0.06102414433536747,0.16185784658691063,0.0886319845857418
bert-l,True,False,['V'],False,0.995,0.0610079575596817,0.15862068965517243,0.08812260536398467
bert-l,True,False,['V'],True,0.985,0.06086266207991532,0.1555104800540906,0.08748573602130087
bert-l,True,False,['V'],True,0.99,0.06080634500991408,0.15251989389920426,0.08694830356299027
bert-l,True,False,['V'],True,0.995,0.06079830822098863,0.14964216005204944,0.08646616541353383
bert-l,True,False,"['V', 'ARG0', 'ARG1']",False,0.985,0.06042296072507553,0.14687100893997446,0.08562121917170779
bert-l,True,False,"['V', 'ARG0', 'ARG1']",False,0.99,0.06011500261369577,0.14420062695924765,0.08485519276886185
bert-l,True,False,"['V', 'ARG0', 'ARG1']",False,0.995,0.06002870938274827,0.1416256157635468,0.08431857758225644
bert-l,True,False,"['V', 'ARG0', 'ARG1']",True,0.985,0.059919239286179496,0.13914095583787053,0.0837658199034872
bert-l,True,False,"['V', 'ARG0', 'ARG1']",True,0.99,0.059825725061776566,0.1367419738406659,0.08323532072740432
bert-l,True,False,"['V', 'ARG0', 'ARG1']",True,0.995,0.059802392095683825,0.13442431326709525,0.08277847759582507
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.059423847048184986,0.13218390804597702,0.08198912752874075
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.05911836524868269,0.13001695873374788,0.08127926495273434
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.0590197587888119,0.12791991101223582,0.08077260755048288
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.05891393442622951,0.12588943623426382,0.08026522421915895
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.05883105256426653,0.12392241379310345,0.07978492758650593
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.05880848887752493,0.1220159151193634,0.07936507936507936
bert-l,True,False,"['V', 'ARG0']",False,0.985,0.05849440488301119,0.12016718913270637,0.07868628121792678
bert-l,True,False,"['V', 'ARG0']",False,0.99,0.05822784810126582,0.11837364899639732,0.07805871372815204
bert-l,True,False,"['V', 'ARG0']",False,0.995,0.058168942842690946,0.11663286004056796,0.07762402969962875
bert-l,True,False,"['V', 'ARG0']",True,0.985,0.05804416403785489,0.11494252873563218,0.07713591011989604
bert-l,True,False,"['V', 'ARG0']",True,0.99,0.05795640670278443,0.11330049261083744,0.07668583812619821
bert-l,True,False,"['V', 'ARG0']",True,0.995,0.05794180627283033,0.11170471102476931,0.07630422161400018
bert-l,True,False,"['V', 'ARG1']",False,0.985,0.05762966675018792,0.11015325670498084,0.07567034051653232
bert-l,True,False,"['V', 'ARG1']",False,0.99,0.05741387918122816,0.1086443079829948,0.07512657194185857
bert-l,True,False,"['V', 'ARG1']",False,0.995,0.05734945767360678,0.10717614165890028,0.0747177779582555
bert-l,True,False,"['V', 'ARG1']",True,0.985,0.05722104739395447,0.10574712643678161,0.0742594236822988
bert-l,True,False,"['V', 'ARG1']",True,0.99,0.05714285714285714,0.10435571687840291,0.07384812971584524
bert-l,True,False,"['V', 'ARG1']",True,0.995,0.057128663686040734,0.10300044782803404,0.0734941683975076
