model,idk,gdl,srl_args,coarse_first,thresh,P,R,F
bert,True,True,"['V', 'ARG0']",False,0.985,0.2340188993885492,0.3741557056523285,0.28794200123110597
bert,True,True,"['V', 'ARG0']",False,0.99,0.2342225113858165,0.3800140745953554,0.2898161814034617
bert,True,True,"['V', 'ARG0']",False,0.995,0.23441634035347655,0.38575409265064436,0.2916200381805016
bert,True,True,"['V', 'ARG0']",True,0.985,0.23460107482430756,0.3913793103448276,0.29335745670715946
bert,True,True,"['V', 'ARG0']",True,0.99,0.2347773401999394,0.396893137589621,0.2950320411141425
bert,True,True,"['V', 'ARG0']",True,0.995,0.23487017474577945,0.40212981744421905,0.29654097849797445
bert,True,True,"['V', 'ARG1']",False,0.985,0.23503283120896099,0.4074322062269836,0.29810165339865274
bert,True,True,"['V', 'ARG1']",False,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert,True,True,"['V', 'ARG1']",False,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert,True,True,"['V', 'ARG1']",True,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert,True,True,"['V', 'ARG1']",True,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert,True,True,"['V', 'ARG1']",True,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,False,False,all,False,0.985,0.24546827794561935,0.9339080459770115,0.388755980861244
bert-l,False,False,all,False,0.99,0.24834437086092714,0.9236453201970444,0.3914405010438413
bert-l,False,False,all,False,0.995,0.25088757396449707,0.9137931034482759,0.3936861652739091
bert-l,False,False,all,True,0.985,0.25136612021857924,0.8812260536398467,0.391156462585034
bert-l,False,False,all,True,0.99,0.2517802644964395,0.853448275862069,0.38884524744697563
bert-l,False,False,all,True,0.995,0.2521613832853026,0.822884012539185,0.38602941176470584
bert-l,False,False,['V'],False,0.985,0.25141120277898393,0.8318965517241379,0.3861287095698566
bert-l,False,False,['V'],False,0.99,0.25089179548156954,0.8395225464190982,0.3863289594140982
bert-l,False,False,['V'],False,0.995,0.25054704595185995,0.8460591133004927,0.3866066404051773
bert-l,False,False,['V'],True,0.985,0.25008564576909903,0.8390804597701149,0.3853259435207179
bert-l,False,False,['V'],True,0.99,0.25040544923775543,0.8318965517241379,0.38494141111942154
bert-l,False,False,['V'],True,0.995,0.2507817385866166,0.8133874239350912,0.38336520076481834
bert-l,False,False,"['V', 'ARG0', 'ARG1']",False,0.985,0.2514705882352941,0.8189655172413793,0.38478847884788475
bert-l,False,False,"['V', 'ARG0', 'ARG1']",False,0.99,0.2521521799500139,0.8239564428312159,0.38613650861152454
bert-l,False,False,"['V', 'ARG0', 'ARG1']",False,0.995,0.25270092226613966,0.8267241379310345,0.3870837537840565
bert-l,False,False,"['V', 'ARG0', 'ARG1']",True,0.985,0.25259690904484416,0.8185550082101807,0.38606001936108425
bert-l,False,False,"['V', 'ARG0', 'ARG1']",True,0.99,0.25232046897899363,0.8095611285266457,0.3847299813780261
bert-l,False,False,"['V', 'ARG0', 'ARG1']",True,0.995,0.25255162591977215,0.7976011994002998,0.3836307914187849
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.25294650951949227,0.8017241379310345,0.3845623707787732
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.25341722716424386,0.8055172413793104,0.3855421686746988
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.25395833333333334,0.8083554376657824,0.3864933417882055
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.2537886441705395,0.8020434227330779,0.38557175748273215
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.25377821393523065,0.7961822660098522,0.3848787021878256
bert-l,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.2538830297219559,0.7871581450653984,0.3839350442221256
bert-l,False,False,"['V', 'ARG0']",False,0.985,0.25386882829771557,0.7919540229885057,0.3844866071428571
bert-l,False,False,"['V', 'ARG0']",False,0.99,0.2538556993440879,0.796440489432703,0.38499798359994614
bert-l,False,False,"['V', 'ARG0']",False,0.995,0.25371858437339717,0.7995689655172413,0.3852044127190136
bert-l,False,False,"['V', 'ARG0']",True,0.985,0.2540315876974231,0.7983281086729362,0.38542060789506877
bert-l,False,False,"['V', 'ARG0']",True,0.99,0.2544158159131421,0.7961460446247465,0.38560727004789386
bert-l,False,False,"['V', 'ARG0']",True,0.995,0.2546002538071066,0.7906403940886699,0.3851691864650828
bert-l,False,False,"['V', 'ARG1']",False,0.985,0.2547995699585317,0.7945402298850575,0.38585882079311545
bert-l,False,False,"['V', 'ARG1']",False,0.99,0.2550245645377401,0.7982292637465052,0.38655082929030804
bert-l,False,False,"['V', 'ARG1']",False,0.995,0.2552760913558832,0.8012704174228675,0.38719579039684277
bert-l,False,False,"['V', 'ARG1']",True,0.985,0.25516265912305514,0.7975243147656941,0.38662666095156445
bert-l,False,False,"['V', 'ARG1']",True,0.99,0.2550624133148405,0.7926724137931035,0.38593913955928644
bert-l,False,False,"['V', 'ARG1']",True,0.995,0.2552638774952147,0.7851135407905803,0.38526619892695
bert-l,True,False,all,False,0.985,0.25403937542430416,0.7680623973727422,0.3817977757371697
bert-l,True,False,all,False,0.99,0.2532414910858995,0.751804330392943,0.37886441705395024
bert-l,True,False,all,False,0.995,0.2527294783663567,0.734717868338558,0.37609066292247517
bert-l,True,False,all,True,0.985,0.25201612903225806,0.7183908045977011,0.3731343283582089
bert-l,True,False,all,True,0.99,0.2515765463571716,0.7027736131934033,0.37051674735698054
bert-l,True,False,all,True,0.995,0.2513741788443491,0.6878209831254586,0.36818851251840945
bert-l,True,False,['V'],False,0.985,0.2509992006394884,0.6767241379310345,0.36618075801749267
bert-l,True,False,['V'],False,0.99,0.25099495887503315,0.6657283603096411,0.3645472061657033
bert-l,True,False,['V'],False,0.995,0.2509283819628647,0.6524137931034483,0.3624521072796935
bert-l,True,False,['V'],True,0.985,0.25072770574225983,0.6406355645706558,0.36040319513122854
bert-l,True,False,['V'],True,0.99,0.2508922670191672,0.6293103448275862,0.3587562612229468
bert-l,True,False,['V'],True,0.995,0.2508591065292096,0.6174365647364997,0.35676691729323307
bert-l,True,False,"['V', 'ARG0', 'ARG1']",False,0.985,0.2502298699592802,0.6082375478927203,0.35458352722196373
bert-l,True,False,"['V', 'ARG0', 'ARG1']",False,0.99,0.24986931521170935,0.5993730407523511,0.3527024534218779
bert-l,True,False,"['V', 'ARG0', 'ARG1']",False,0.995,0.2495106355213363,0.5886699507389163,0.35047200073320506
bert-l,True,False,"['V', 'ARG0', 'ARG1']",True,0.985,0.249185879901003,0.5786448880822747,0.34835655103341523
bert-l,True,False,"['V', 'ARG0', 'ARG1']",True,0.99,0.24892703862660945,0.5689655172413793,0.34633131276576495
bert-l,True,False,"['V', 'ARG0', 'ARG1']",True,0.995,0.24882995319812792,0.559322033898305,0.3444304480834983
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.24790078801188478,0.5514367816091954,0.3420372515818555
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.2472689885618815,0.5438100621820238,0.3399593603675236
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.2468565563253785,0.5350389321468298,0.33784021071115017
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.2465420081967213,0.5268199233716475,0.33589251439539347
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.24632305921473335,0.5188577586206896,0.3340560228948053
bert-l,True,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.2462285860393761,0.5108753315649868,0.3322981366459627
